Title,# Views,# Rates,Average Score,Douban Link
特写 ,18,13,9.23076923076923,https://movie.douban.com/subject/1303521/
爱在歇斯底里时 ,11,8,7.25,https://movie.douban.com/subject/1468030/
光明的未来 ,9,9,8.0,https://movie.douban.com/subject/1305444/
X圣治 ,14,13,8.461538461538462,https://movie.douban.com/subject/1304665/
发条橙 ,29,26,9.23076923076923,https://movie.douban.com/subject/1292233/
滑板少年 ,4,4,8.5,https://movie.douban.com/subject/27611421/
持摄影机的人 ,18,15,9.466666666666667,https://movie.douban.com/subject/1293199/
荒漠怪客 ,9,7,8.0,https://movie.douban.com/subject/1303575/
朦胧的欲望 ,16,12,8.666666666666666,https://movie.douban.com/subject/1303071/
福尔摩斯二世 ,14,13,9.384615384615385,https://movie.douban.com/subject/1303408/
站台,23,21,8.571428571428571,https://movie.douban.com/subject/1291850/
罗马 ,18,17,7.411764705882353,https://movie.douban.com/subject/1950330/
夜以继日 ,14,12,7.833333333333333,https://movie.douban.com/subject/27037053/
悲情城市,20,18,9.666666666666666,https://movie.douban.com/subject/1294194/
钟 ,2,1,10.0,https://movie.douban.com/subject/6788340/
孩子王,15,14,8.857142857142858,https://movie.douban.com/subject/1293391/
三岛由纪夫传 ,9,7,8.0,https://movie.douban.com/subject/1305345/
偷自行车的人 ,23,20,9.3,https://movie.douban.com/subject/1295873/
西鹤一代女 ,16,13,8.461538461538462,https://movie.douban.com/subject/1303603/
小城之春,17,13,8.923076923076923,https://movie.douban.com/subject/1323746/
西部往事 ,20,17,8.352941176470589,https://movie.douban.com/subject/1293394/
第七封印 ,22,20,9.0,https://movie.douban.com/subject/1293234/
桃色公寓 ,17,15,8.8,https://movie.douban.com/subject/1394218/
燃烧 ,20,18,8.666666666666666,https://movie.douban.com/subject/26842702/
海马 ,3,3,9.333333333333334,https://movie.douban.com/subject/3023169/
东京爱情故事 ,12,12,9.333333333333334,https://movie.douban.com/subject/1438760/
乒乓 ,7,7,10.0,https://movie.douban.com/subject/25813424/
阿尔及尔之战 ,14,12,9.333333333333334,https://movie.douban.com/subject/1419005/
野草莓 ,22,19,9.052631578947368,https://movie.douban.com/subject/1293071/
乡愁 ,20,18,8.88888888888889,https://movie.douban.com/subject/1291556/
拿破仑 ,5,5,9.2,https://movie.douban.com/subject/1401756/
双峰  第二季 ,8,8,9.0,https://movie.douban.com/subject/3022764/
双峰 第一季 ,14,11,9.818181818181818,https://movie.douban.com/subject/1295526/
伍 ,6,4,9.0,https://movie.douban.com/subject/1401919/
默文·卡拉 ,4,4,6.5,https://movie.douban.com/subject/1420042/
恐惧的代价 ,22,20,8.6,https://movie.douban.com/subject/1299932/
你从未在此 ,16,14,7.142857142857143,https://movie.douban.com/subject/26791455/
银翼杀手 ,26,23,9.043478260869565,https://movie.douban.com/subject/1291839/
